scenario,mode,steps,seed,J_initial,D_initial,J_after_update_1,J_final,D_after_update_1,D_final,stress_final,J_mean,D_mean,stress_mean,movement_total,max_abs_x,max_abs_v
zero,standard,300,42,0.0663266915454487,0.00047046694521315666,1.1830720264299417,1.6585168912198223,0.1448492691026211,0.29686440925112734,0.0,1.6958012857869824,0.2995770058859289,0.0,71.20642549729726,0.24542560043585965,0.12
zero,gate_only,300,42,0.0663266915454487,0.00047046694521315666,0.028848205782978927,0.04834182722008596,0.00011928152672273942,2.8217450260592086e-17,0.0,0.03312521790875424,1.366789580166017e-06,0.0,10.075647020026585,0.00792683695049917,0.021523360345353855
zero,decay_only,300,42,0.0663266915454487,0.00047046694521315666,0.2793127419127362,1.3358012604059204,0.008336040291015704,0.23360663591420214,0.0,1.3414315110879749,0.23462364445575665,0.0,23.378949864383138,0.19284202025847072,0.024
zero,gated,300,42,0.0663266915454487,0.00047046694521315666,0.047291712079763154,2.8339297588428143e-44,0.0002301366080741249,2.863019230302155e-94,0.0,0.0005531685078392872,1.5363314385140212e-06,0.0,0.06633190086032834,0.011487456086003142,0.0043046720690707715
full,standard,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
full,gate_only,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
full,decay_only,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
full,gated,100,42,0.0,0.0,1.2000000000000002,5.758079908675757,7.703719777548943e-33,1.2754843240449871,0.42519188267697017,5.608103561848618,1.2139376508952906,0.4270416328446629,21.06649029571417,1.0,0.12
partial,standard,200,42,0.0,0.0,0.6,4.4892373169743545,0.036,1.9936969200245325,0.351581744260318,4.4299208473234275,1.9036946088489781,0.35279905045601767,52.22468604210211,1.0,0.12
partial,gate_only,200,42,0.0,0.0,0.6,3.798581315559754,0.036,1.7202664098343072,0.3532091637555173,3.7734410601420767,1.74079299171881,0.353301240771917,54.51579844727903,1.0,0.12
partial,decay_only,200,42,0.0,0.0,0.6,4.464114514585661,0.036,1.9822757262229247,0.35196092350278213,4.404289816501199,1.888254970614505,0.3530780166811381,51.4345938038014,1.0,0.12
partial,gated,200,42,0.0,0.0,0.6,3.7844135498750675,0.036,1.770436247908911,0.35305259719550036,3.7525394697674512,1.7479642969451876,0.3533817102559763,52.06520421167531,1.0,0.12
