step,J,D,stress,movement,active_directed_pairs,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
1,1.2000000000000002,7.703719777548943e-33,0.48437600000000025,1.2000000000000002,18.0,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,1.019118,1.038875,1.058605,1.07847,1.098335,1.0182,1.038065,1.05793,1.078227,1.098551
2,2.3992727272727272,4.7603305785133294e-07,0.4687630000000006,1.199272727272727,18.0,-0.24,-0.24,-0.24,-0.24,-0.24,-0.2392727272727272,-0.24,-0.24,-0.24,-0.24,-0.12,-0.12,-0.12,-0.12,-0.12,-0.11927272727272718,-0.12,-0.12,-0.12,-0.12,1.0182362,1.0377502,1.0572102,1.076942,1.096672,1.016402,1.036132,1.055862,1.0764542,1.0971022000000001
3,3.428177454545455,0.020401036050195085,0.4555317924000001,1.0903592727272737,18.0,-0.33963200000000093,-0.36,-0.36,-0.36,-0.36,-0.20854545454545437,-0.36,-0.36,-0.36,-0.36,-0.09963200000000094,-0.12,-0.12,-0.12,-0.12,0.03072727272727281,-0.12,-0.12,-0.12,-0.12,1.017426202,1.036697202,1.055887202,1.0758295552000001,1.0954245552,1.0150195551999999,1.0346145552,1.0542095552,1.0747257052,1.0956977052
4,4.217809454545456,0.1557222997313583,0.4444833348,1.130367999999999,18.0,-0.28926400000000185,-0.48,-0.48,-0.48,-0.48,-0.08854545454545437,-0.48,-0.48,-0.48,-0.48,0.05036799999999905,-0.12,-0.12,-0.12,-0.12,0.12,-0.12,-0.12,-0.12,-0.12,1.016865754,1.035893754,1.054813754,1.0749851104,1.0944451104000001,1.0139051103999999,1.0333651104,1.0528251104,1.0730442604000001,1.0943402604
5,4.97791357522031,0.46680792244949654,0.4342143015864549,1.177195029765763,18.0,-0.16926400000000186,-0.6,-0.6,-0.6,-0.6,0.031454545454545624,-0.5893294134672463,-0.5878656162985165,-0.6,-0.6,0.12,-0.12,-0.12,-0.12,-0.12,0.12,-0.10932941346724634,-0.10786561629851649,-0.12,-0.12,1.0164168988506628,1.0352018988506628,1.0538518988506629,1.0741582552506628,1.0935120658343014,1.012872558906628,1.0321975589066281,1.0515225589066282,1.0714447089066281,1.0930358983229898
6,5.606635930523787,0.9011645899439331,0.42897336917166673,1.0343322957719507,18.0,-0.04926400000000186,-0.72,-0.72,-0.72,-0.72,0.14298187099225923,-0.5486588269344926,-0.545731232597033,-0.72,-0.72,0.12,-0.12,-0.12,-0.12,-0.12,0.1115273255377136,0.040670586532753655,0.04213438370148351,-0.12,-0.12,1.0160594637158484,1.0346014637158485,1.0529814637158486,1.0734018502465543,1.0930544714138313,1.0127542075584848,1.0319442075584848,1.0511342075584849,1.070780327427779,1.0922617062605022
7,6.0635575387695,1.287568591030633,0.4237959923773845,0.8921572882421904,18.0,0.019417119036287595,-0.7751223292076646,-0.84,-0.84,-0.84,0.14280287922047388,-0.5004839787080416,-0.42573123259703305,-0.84,-0.84,0.06868111903628946,-0.05512232920766458,-0.12,-0.12,-0.12,-0.0001789917717853473,0.048174848226451045,0.12,-0.12,-0.12,1.01573542455002,1.0340344245500201,1.0521444245500202,1.072471648565392,1.0923411594913823,1.0126078956360358,1.0316628956360359,1.050717895636036,1.0703644585099652,1.091715765252477
8,6.2899870649362555,1.4516017537527832,0.4188844269138018,0.8126953526062798,18.0,-0.015626562649302705,-0.6802446584153291,-0.96,-0.96,-0.96,0.08396475582933442,-0.5591047459818674,-0.30573123259703305,-0.8983918471876752,-0.8669232622757135,-0.0350436816855903,0.09487767079233542,-0.12,-0.12,-0.12,-0.05883812339113946,-0.058620767273825786,0.12,-0.05839184718767522,-0.026923262275713553,1.0155265948673946,1.0335825948673947,1.0514225948673945,1.0716515034976488,1.0912133060205018,1.0120470421651555,1.0311611078465144,1.0503952418363338,1.0701874290656563,1.0916970118798073
9,6.13667038773028,1.435041281772448,0.4198409486541296,0.4876893542758485,18.0,-0.02856373049189584,-0.5602446584153291,-1.0,-1.0,-1.0,0.05535380460065967,-0.593353916674211,-0.2805409582509161,-0.8716900570215552,-0.7469232622757135,-0.012937167842593134,0.12,-0.10056049890572157,-0.05116062496416442,-0.12,-0.028610951228674755,-0.03424917069234354,0.02519027434611701,0.026701790166119996,0.12,1.0156625788185558,1.0336375788185557,1.0513875788185558,1.0715631405211066,1.0908434702830903,1.0118228879802063,1.0311020643005884,1.050831198290408,1.0706941976240212,1.0922962531990417
10,5.82578298672515,1.4053097421475411,0.4235753866924631,0.41129874323918547,18.0,-0.004629024747724336,-0.4402446584153291,-1.0,-0.9662709095544053,-1.0,0.06809112451764772,-0.5706379200897087,-0.3180093094509555,-0.8309767776736657,-0.6269232622757135,0.023934705744171503,0.12,-0.024178599077833846,0.033729090445594634,-0.12,0.012737319916988052,0.022715996584502268,-0.03746835120003947,0.04071327934788947,0.12,1.0159734599181065,1.034016761326259,1.051766761326259,1.0719415360428495,1.0910941989956116,1.0119640217654673,1.031303143507643,1.0514372774974625,1.0712687519642814,1.0928094743485235
