step,J,D,stress,movement,active_directed_pairs,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
1,0.6,0.036,0.39235599999999976,0.6,18.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.12,-0.12,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0,-0.12,-0.12,-0.12,-0.12,-0.12,0.999805,0.999805,0.999805,0.999508,0.999184,1.0288329999999999,1.058455,1.08805,1.118347,1.148671
2,1.387400715226802,0.17274131498408546,0.3852498960803688,0.7874007152268021,18.0,0.0,-0.010714285714285714,-0.016666666666666666,-0.04001976284584979,0.12,-0.24,-0.24,-0.24,-0.24,-0.24,0.0,-0.010714285714285714,-0.016666666666666666,-0.04001976284584979,0.12,-0.12,-0.12,-0.12,-0.12,-0.12,0.9995789122200264,0.9994978722002635,0.9997678722002635,0.9991738722002635,0.9985427472002635,1.0278707472002635,1.0571957872200264,1.0861157872200264,1.1167097872200262,1.1473577872200262
3,2.445395279354679,0.45222941687449403,0.37787803149077087,1.0913278974612102,18.0,0.024,-0.1307142857142857,0.10333333333333333,-0.1600197628458498,0.22732789746121024,-0.36,-0.36,-0.36,-0.36,-0.36,0.024,-0.12,0.12,-0.12,0.10732789746121024,-0.12,-0.12,-0.12,-0.12,-0.12,0.9994497441943917,0.9991257041746288,0.9996371919439165,0.9987137919439165,0.9979476669439166,1.0267086669439165,1.0558987069636794,1.0841722191943917,1.1150632191943917,1.1460352191943917
4,3.4005794947919403,0.7792602860837154,0.3697233407295349,1.0128157845627384,18.0,0.048,-0.25071428571428567,0.22333333333333333,-0.2800197628458498,0.19851211289847182,-0.48,-0.48,-0.48,-0.48,-0.48,0.024,-0.12,0.12,-0.12,-0.028815784562738422,-0.12,-0.12,-0.12,-0.12,-0.12,0.9992865402482509,0.9987195002284881,0.9991661524825097,0.9979133524825097,0.9970122274825097,1.0252062274825096,1.0542612675022724,1.082194615248251,1.113382615248251,1.1446786152482509
5,3.764856412132175,0.9520988452413748,0.36274238118309704,0.6437230826597657,18.0,0.07200000000000001,-0.24397912271039307,0.2073185577380965,-0.26834354033233454,0.10475052877452368,-0.46846466257682706,-0.6,-0.6,-0.6,-0.6,0.024,0.006735163003892597,-0.01601477559523684,0.011676222513515272,-0.09376158412394814,0.01153533742317292,-0.12,-0.12,-0.12,-0.12,0.9991226562041432,0.9985792605349703,0.9988149492247129,0.9975582991848353,0.9963225663031041,1.0241943928991755,1.0528477885683485,1.080587099878606,1.1117465499184835,1.1433665499184835
6,3.9722471232974934,1.2395366774414942,0.3573709953056881,0.8006092888346811,18.0,0.096,-0.17840101254714,0.1454192061678149,-0.2200693118379384,0.1038929301677734,-0.34846466257682707,-0.72,-0.72,-0.72,-0.72,0.024,0.06557811016325307,-0.06189935157028159,0.04827422849439614,-0.0008575986067502761,0.12,-0.12,-0.12,-0.12,-0.12,0.999031266495548,0.9985856261390761,0.9988193852319536,0.9978273351920759,0.9961643167868377,1.0237965622157357,1.0519742025722074,1.07931044347933,1.1101728935192074,1.1421168935192076
7,4.331884876234461,1.7139398169647442,0.3529432617019355,0.6639388593726144,18.0,0.11768256010652595,-0.16435748381170107,0.1553861442219746,-0.20196228735555352,0.1598718587925988,-0.22846466257682707,-0.7841598793692796,-0.84,-0.84,-0.84,0.02168256010652594,0.014043528735438932,0.009966938054159713,0.01810702448238488,0.0559789286248254,0.12,-0.06415987936927958,-0.12,-0.12,-0.12,0.999014121235957,0.998605147604062,0.9989648592863454,0.9982405377903238,0.9963821691530302,1.0236454740934307,1.0514084477253256,1.0782137360430424,1.10877918608292,1.140896417757217
8,4.735724323560103,2.120185852898775,0.3488512412103451,0.5755196885870839,18.0,0.13621734611897668,-0.1732607590183073,0.1920246595688349,-0.20413312048971344,0.19330401704888506,-0.2584646625768271,-0.6983197587385591,-0.96,-0.96,-0.96,0.01853478601245074,-0.00890327520660622,0.0366385153468603,-0.0021708331341599163,0.03343215825628626,-0.03,0.08584012063072041,-0.12,-0.12,-0.12,0.9989989913523559,0.9985856217833643,0.9990205558217242,0.998196962364586,0.9965843847114457,1.0234307403242218,1.0508201098932135,1.0771451758548536,1.107784875894731,1.1396703392433252
9,4.733676631617733,2.1953196791543195,0.3487470039608423,0.3381275581617195,18.0,0.1507651860260472,-0.17622494533689853,0.18608884853377572,-0.23466102737372616,0.1815520093489616,-0.2260648562597648,-0.5783197587385591,-1.0,-1.0,-1.0,0.014547839907070516,-0.0029641863185912443,-0.005935811035059191,-0.030527906884012718,-0.011752007699923461,0.03239980631706231,0.12,-0.09859661194704164,-0.05377176059845265,-0.10537164993725912,0.9989968573298522,0.9985216687494204,0.9989301607704556,0.9981671172500775,0.996883208190389,1.023623248263028,1.05094843684346,1.0771649448224248,1.1077244553416676,1.1392859186902617
10,4.579596562849758,2.1519145285333394,0.35005119911449106,0.19813316531884395,18.0,0.1586448422439303,-0.19037183739445024,0.16109971995961758,-0.22729018992619274,0.17054968423861067,-0.132854338964968,-0.5725322446859916,-1.0,-0.9662537054359976,-1.0,0.007879656217883104,-0.014146892057551708,-0.024989128574158137,0.007370837447533418,-0.01100232511035093,0.09321051729479679,0.005787514052567527,-0.0161120306267329,0.03374629456400237,-0.026356746825047947,0.9989720297026473,0.9985117670680468,0.9988955038575836,0.998352518831616,0.9971065174148601,1.0238915379189328,1.05130810138141,1.0775493645918732,1.1078781790808114,1.1394240161414635
