step,J,D,stress,movement,active_directed_pairs,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
1,0.6,0.036,0.39235599999999976,0.6,10.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.12,-0.12,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0,-0.12,-0.12,-0.12,-0.12,-0.12,0.999805,0.999805,0.999805,0.999508,0.999184,1.0288329999999999,1.058455,1.08805,1.118347,1.148671
2,1.387400715226802,0.17274131498408546,0.3852498960803688,0.7874007152268021,10.0,0.0,-0.010714285714285714,-0.016666666666666666,-0.04001976284584979,0.12,-0.24,-0.24,-0.24,-0.24,-0.24,0.0,-0.010714285714285714,-0.016666666666666666,-0.04001976284584979,0.12,-0.12,-0.12,-0.12,-0.12,-0.12,0.9995789122200264,0.9994978722002635,0.9997678722002635,0.9991738722002635,0.9985427472002635,1.0278707472002635,1.0571957872200264,1.0861157872200264,1.1167097872200262,1.1473577872200262
3,2.10772977926221,0.4237761365976032,0.3781850226935,0.7256980295172546,10.0,-0.003440742270168235,-0.02757097087568784,-0.0154494399149618,-0.03855250685663117,0.22271611934476077,-0.36,-0.36,-0.36,-0.36,-0.36,-0.003440742270168235,-0.016856685161402124,0.0012172267517048668,0.0014672559892186243,0.10271611934476077,-0.12,-0.12,-0.12,-0.12,-0.12,0.9993776955235258,0.9992996266971411,0.9998007379656668,0.9989143829677316,0.9979858072468608,1.0269606162387077,1.0559046850650924,1.0841885737965666,1.1150795737965666,1.1460515737965666
4,2.655464805561181,0.6763346956121821,0.37045058042971607,0.6583909033160934,10.0,0.009567520336499543,-0.010739036793997233,-0.013620795504708455,-0.036635887090716905,0.1914061213642261,-0.47349544447103276,-0.48,-0.48,-0.48,-0.48,0.013008262606667778,0.016831934081690605,0.0018286444102533442,0.001916619765914264,-0.03130999798053466,-0.11349544447103277,-0.12,-0.12,-0.12,-0.12,0.999229713583622,0.9991555259122632,0.9995861896853327,0.9984013723078127,0.9971222862907633,1.0257428037226717,1.0543049913940303,1.0822543276209609,1.1134262288460266,1.1447222288460266
5,3.0709466825833482,0.8497071866095574,0.3635805535954007,0.665648640051556,10.0,0.020627602286806608,-0.012357466687978921,-0.03688853653881534,-0.06125489274918285,0.10282729537849891,-0.4369908889420655,-0.6,-0.6,-0.6,-0.6,0.011060081950307065,-0.0016184298939816884,-0.023267741034106885,-0.024619005658465948,-0.0885788259857272,0.036504555528967225,-0.12,-0.12,-0.12,-0.12,0.9990172907421656,0.9988932495843486,0.9991246109989501,0.9980152112857313,0.9964146742957649,1.0247260736615347,1.052960114819352,1.0807037534047503,1.1117853058548819,1.1434053058548819
6,3.4792921972046384,1.1226317743384155,0.3579607148295159,0.689882311816968,10.0,-0.014844572573882407,-0.035126920718579965,-0.06420149428871896,-0.06544182161392494,0.10268649906746663,-0.3169908889420655,-0.72,-0.72,-0.72,-0.72,-0.035472174860689015,-0.022769454030601047,-0.027312957749903617,-0.004186928864742083,-0.00014079631103228185,0.12,-0.12,-0.12,-0.12,-0.12,0.9987396327617489,0.9986071130729807,0.9988381576958825,0.9980736454187257,0.9961849703188573,1.024194533008577,1.0520590526973452,1.0793980080744434,1.1101825605245752,1.142126560524575
7,3.814557387669954,1.5723526078340178,0.35351318598496945,0.6493992834678349,10.0,-0.028373783079738223,-0.03791653259641198,-0.05468247793797235,-0.0378937914634121,0.15541384875004752,-0.1969908889420655,-0.7832860649003067,-0.84,-0.84,-0.84,-0.013529210505855815,-0.002789611877832013,0.00951901635074661,0.027548030150512832,0.05272734968258089,0.12,-0.06328606490030678,-0.12,-0.12,-0.12,0.9986408894826398,0.9985641545549264,0.998913835714614,0.99846458787164,0.9964094340352485,1.024050862495537,1.0514815974232503,1.0782969162635627,1.1087844687136943,1.1408993410889252
8,4.049734037882002,2.0289397777578855,0.3496123636885567,0.6629116155543683,10.0,0.012904299128255886,0.007418577508900542,-0.01914904304393853,-0.01256399446212949,0.1941351049960996,-0.2269908889420655,-0.6965721298006136,-0.96,-0.96,-0.96,0.04127808220799411,0.04533511010531252,0.03553343489403382,0.025329797001282614,0.03872125624605208,-0.03,0.08671393509969322,-0.12,-0.12,-0.12,0.9987603536173408,0.9987349115285551,0.9991717155147963,0.9985924922608416,0.9967000632508034,1.0239265315282824,1.0509279736170682,1.0772511696308271,1.1078129720809586,1.1396937168314203
9,4.22609801951445,2.1393006116080606,0.3483297357938551,0.4664471970284205,10.0,0.05352312112437778,0.02916922501841922,0.003532719341461335,-0.030175778684978297,0.18824254034205137,-0.3448825052025485,-0.5765721298006136,-1.0,-1.0,-1.0,0.04061882199612189,0.02175064750951868,0.022681762385399866,-0.017611784222848807,-0.005892564654048221,-0.117891616260483,0.12,-0.0981480059482773,-0.05330397785679719,-0.10453259470533072,0.9988608530211622,0.9987997470693252,0.9992232927850948,0.9982974523712006,0.9966947660913349,1.0237634071965203,1.0506745131483572,1.0768759674325878,1.1077295516329642,1.1392862963834256
10,4.160745547910565,1.980032602004424,0.34830607922176987,0.2606816113400502,10.0,0.02514693292168882,-0.0045915975276791775,-0.023355268272131295,-0.06989348275325058,0.1516029000996629,-0.3127741214630315,-0.6065721298006136,-1.0,-0.9668091150725076,-1.0,-0.02837618820268896,-0.0337608225460984,-0.02688798761359263,-0.03971770406827228,-0.03663964024238847,0.032108383739516994,-0.03,-0.026094985062625295,0.03319088492749245,-0.028233834228945875,0.9986987815459524,0.998557247243377,0.9988983537686013,0.998090289458536,0.9964597764741804,1.0235768159570702,1.0506729015471672,1.076956795021943,1.107730910972564,1.1393686557230256
11,4.05530550320826,1.7767053867106468,0.35024240715912264,0.4786155300001874,10.0,-0.03535275271341934,-0.04930496045693965,-0.0685401334016483,-0.07177864535877612,0.1328933913739595,-0.19277412146303152,-0.666023729071832,-0.9918286542961456,-0.8468091150725076,-1.0,-0.06049968563510816,-0.04471336292926047,-0.04518486512951701,-0.0018851626055255422,-0.0187095087257034,0.12,-0.059451599271218486,0.008171345703854319,0.12,-0.12,0.9984941325709192,0.9983487808140676,0.998647790944659,0.9982184012102012,0.9964977924544269,1.0237200658807337,1.0511979689251068,1.0775239587945153,1.1080010747451365,1.1397993388136303
12,3.854013403334986,1.6558760101965058,0.35321020048279156,0.32144360635193414,10.0,-0.04010627102069099,-0.037267110170814015,-0.06373796085456244,-0.04784805458256666,0.15821562630601796,-0.22277412146303152,-0.5754753283430505,-0.9817798155217441,-0.7268091150725076,-1.0,-0.004753518307271651,0.012037850286125633,0.004802172547085856,0.02393059077620946,0.025322234932058457,-0.03,0.09054840072878151,0.010048838774401533,0.12,-0.12,0.9985935682110312,0.9984966759005014,0.99885266105969,0.9983554385749469,0.9968603508869397,1.0241033732560767,1.051910816854128,1.0781798316949396,1.1087311976455605,1.1402849810320868
13,3.6382475530517513,1.7455919376176674,0.3551121219963605,0.3276089834949681,10.0,0.02202377207382125,0.006159777862890403,-0.012697067725949494,-0.04075006917602751,0.18304483130235166,-0.17139774247060688,-0.5654517020699505,-0.9846886271945656,-0.652033963175588,-1.0,0.06213004309451224,0.04342688803370442,0.05104089312861295,0.007097985406539151,0.024829204996333704,0.05137637899242464,0.010023626273099953,-0.0029088116728214902,0.07477515189691955,-0.12,0.9989150079954298,0.9988324891053483,0.9992443399757787,0.9987903984708643,0.9972539772251413,1.024396617712504,1.0524252296185823,1.078638378748152,1.1090625881607667,1.1405893077563556
14,3.8350010435844455,1.85676249114435,0.3536366866922365,0.2993783880841416,10.0,0.057355159112870445,0.03615098614821608,0.010498377809295141,-0.017177091906376382,0.19004162322009163,-0.27002136347818223,-0.5504092982898274,-0.9988619912017013,-0.7044851524178849,-1.0,0.03533138703904919,0.029991208285325678,0.023195445535244635,0.02357297726965113,0.0069967919177399696,-0.09862362100757535,0.015042403780123073,-0.014173364007135605,-0.05245118924229686,-0.12,0.9990283606652431,0.9989935770541327,0.9994211707063779,0.998675438366967,0.997132395458401,1.0241918270540793,1.0520074824350734,1.0782048887828282,1.1088731916574366,1.140359296762819
15,3.8999091363176044,1.8665924728921885,0.3513958380519722,0.37356620873378954,10.0,0.027828986987455326,0.010688903373837072,-0.010182477803804768,-0.04786196433604824,0.1525755769212904,-0.2186449844857576,-0.6704092982898274,-1.0,-0.7617169441195839,-1.0,-0.02952617212541512,-0.02546208277437901,-0.02068085561309991,-0.030684872429671856,-0.03746604629880124,0.05137637899242464,-0.12,-0.04151053341245976,-0.05723179170169901,-0.12,0.9988396079673701,0.9987426874895896,0.9990859825376626,0.9985072670686272,0.9966803269404308,1.0237736554004777,1.0514711675042816,1.0777528724562087,1.1082940187928108,1.1401041238981935
16,4.072653658663259,1.7093914505730523,0.3501332368233819,0.3576646940762485,10.0,-0.02559272358319853,-0.03960311072762088,-0.06422471602095603,-0.06495474286284914,0.1286333814172857,-0.3172686054933329,-0.6404092982898274,-1.0,-0.7919670802681884,-1.0,-0.053421710570653855,-0.05029201410145795,-0.054042238217151255,-0.017092778526800904,-0.0239421955040047,-0.09862362100757535,0.03,-0.04996166576417156,-0.0302501361486045,-0.12,0.9985248394329287,0.9983933060786314,0.9986827311868203,0.9979320415650615,0.996265311359075,1.0234559158479128,1.0510927528993652,1.0774283277911765,1.1082135675897724,1.139942672695155
17,4.01785678703796,1.6179054891810734,0.3514529731333687,0.2055249995314729,10.0,-0.045270198590410204,-0.056682318510173094,-0.0740988856322296,-0.09368795441489883,0.12553805881364968,-0.26589222650090827,-0.6059546501160604,-1.0,-0.7507324944596303,-1.0,-0.019677475007211676,-0.017079207782552216,-0.009874169611273569,-0.028733211552049685,-0.0030953226036360137,0.05137637899242464,0.034454648173767005,-0.045395024087977034,0.0412345858085581,-0.12,0.9984773444680337,0.9982876263603436,0.9985700869926742,0.9979731185001816,0.9964263155965217,1.0236346935906597,1.051459604340802,1.0778021437084715,1.108460226969061,1.1400963045243744
18,3.759907638829259,1.7552163935618998,0.35351873621491553,0.3412138903867825,10.0,-0.005854292111901069,-0.025362585434695217,-0.044438720868522595,-0.05440026072730544,0.16717042990269013,-0.14589222650090827,-0.5998362335590526,-1.0,-0.7169528897241835,-1.0,0.039415906478509136,0.031319733075477876,0.02966016476370701,0.03928769368759339,0.04163237108904044,0.12,0.006118416557007844,-0.011269520732279839,0.033779604735446805,-0.12,0.9987165044006375,0.9986063438726647,0.9989824773399457,0.9986292973737071,0.9970496856151573,1.0242046753127205,1.0520564342380623,1.0783053007707812,1.108666384031371,1.1402859418619804
19,3.676166895899144,1.8779376386533075,0.35530351316457304,0.42573173171611167,10.0,0.04066985437262306,0.038995728387650974,0.01072049995176276,0.003000884923036899,0.2095944945355796,-0.17589222650090827,-0.4798362335590526,-0.9953196218193111,-0.7221373518492188,-1.0,0.04652414648452413,0.06435831382234619,0.055159220820285355,0.057401145650342336,0.042424064632889474,-0.03,0.12,0.004680378180688935,-0.005184462125035344,-0.12,0.9990602139462884,0.9990662907382576,0.9995378783509626,0.9990476407869698,0.9976906646841499,1.0247600578904152,1.052479248440121,1.078632660827416,1.1090679940880057,1.140363551918615
20,3.683033257085083,1.9359875418958585,0.35563971208756345,0.17976879980990834,10.0,0.06690881646530386,0.04665990389744214,0.027039877484060705,-0.00841468718246493,0.20813039429387856,-0.1049778993410442,-0.5098362335590526,-1.0,-0.7110654448618362,-1.0,0.026238962092680805,0.007664175509791163,0.016319377532297945,-0.011415572105501828,-0.001464100241701044,0.07091432715986407,-0.03,-0.009957304795693026,0.011071906987382557,-0.12,0.9991555444073559,0.9991385046658113,0.9996067980529726,0.9992566508498754,0.9978066036706275,1.0248329318911562,1.0526101154813858,1.0787668220942246,1.1090266423950936,1.1404032002257032
21,3.799206941592416,1.8404271960096037,0.3526728839874787,0.4272628543492635,10.0,0.016981483525710155,0.005403659160828238,-0.019417912657054198,-0.03550000284621759,0.1708092645331815,-0.18406357218118014,-0.6298362335590526,-1.0,-0.7371948131291916,-1.0,-0.049927332939593706,-0.0412562447366139,-0.0464577901411149,-0.027085315663752663,-0.03732112976069707,-0.07908567284013593,-0.12,-0.016722980777849797,-0.026129368267355374,-0.12,0.998833221081986,0.9987613335762224,0.9991456544214221,0.998667172077514,0.9969581034837263,1.024068055726509,1.0518177795709156,1.078058458725716,1.1085140160668643,1.1402145738974738
22,4.033897449616633,1.6150006899609033,0.35075401176543713,0.47371969659241797,10.0,-0.039254782103001394,-0.0484353139402068,-0.07201661952761249,-0.09297375539194372,0.10367981293561976,-0.30406357218118013,-0.5998362335590526,-1.0,-0.7736373599780167,-1.0,-0.05623626562871155,-0.05383897310103504,-0.05259870687055829,-0.05747375254572613,-0.06712945159756173,-0.12,0.03,-0.05214261749194614,-0.03644254684882517,-0.12,0.9984829822182558,0.9982947103635871,0.9985279899426922,0.9978284265573829,0.9962851543462292,1.0234897842613788,1.051241098432117,1.0776328188530118,1.10838537619416,1.1400049340247695
23,4.140828588378696,1.6074776462174436,0.3501332165263676,0.20338548437604784,10.0,-0.048427374473438305,-0.06900240135584831,-0.08839864285680112,-0.11685465666805767,0.10465169867249063,-0.27406357218118016,-0.6840200549998561,-1.0,-0.7554101871710243,-1.0,-0.00917259237043691,-0.020567087415641512,-0.01638202332918863,-0.02388090127611394,0.0009718857368708755,0.03,-0.08418382144080355,-0.05229043500727561,0.018227172806992514,-0.12,0.9983847110127617,0.9981480803330088,0.9983835466550219,0.9977706162694127,0.9960324409030485,1.0232665584601908,1.0511236470503549,1.0775131807283418,1.1081914880694903,1.1400383422179898
24,3.973058646319963,1.7167587244213016,0.35115199584246987,0.3446486295184772,10.0,-0.012913960993681826,-0.02480463386481902,-0.04571977426415057,-0.055776469635393684,0.14504698297827043,-0.322107631605272,-0.6182038764406597,-1.0,-0.7484853165377154,-1.0,0.03551341347975648,0.04419776749102929,0.04267886859265055,0.06107818703266398,0.040395284305779794,-0.04804405942409182,0.06581617855919644,-0.03593767107190053,0.006924870633308822,-0.12,0.9986334828183825,0.9985205354673709,0.9988468911790719,0.9980671086381904,0.9964370254701377,1.0235943210638132,1.051349539667731,1.07764818395603,1.108445400344253,1.1401145508106427
25,3.875314970696908,1.9181143908611042,0.3527261471512218,0.3861653369010622,10.0,0.0493189940993373,0.03150562993327803,0.010752556622365392,-0.016108456369681286,0.18962079607232946,-0.22015169102936383,-0.6262637133306237,-1.0,-0.731593133239929,-1.0,0.06223295509301913,0.05631026379809705,0.05647233088651596,0.0396680132657124,0.04457381309405903,0.10195594057590818,-0.008059836889963978,-0.020136939290120212,0.01689218329778641,-0.12,0.9989899208274456,0.9989573012032971,0.9993839479944597,0.998772491917128,0.9970319585239904,1.02408760392207,1.051815705176513,1.0780140583853504,1.1085589338206479,1.1402498458466406
26,3.7541913400662197,1.919285413633489,0.3546537213761836,0.2231968071067447,10.0,0.0602356300388718,0.041121786146010954,0.01689637228739367,0.005509944304696403,0.2052413603412582,-0.18409992853032858,-0.5062637133306237,-1.0,-0.7348226050870363,-1.0,0.0109166359395345,0.009616156212732922,0.006143815665028279,0.02161840067437769,0.015620564268928744,0.03605176249903523,0.12,-0.0037646021835816418,-0.003229471847107368,-0.12,0.999088964886817,0.999100122524034,0.9995619155848018,0.9990249501611368,0.9975932713219642,1.024637857851847,1.0523120090086056,1.078475215947838,1.1089308632709503,1.140297775296943
27,3.5959393608586736,1.8228024338410562,0.35520937418296566,0.31505482823028,10.0,0.01203465538346811,0.0027926047984538627,-0.016435661983038613,-0.03196576252832835,0.19507687456700482,-0.09521738670486944,-0.5362637133306237,-0.9944271622034034,-0.7117255393594832,-1.0,-0.04820097465540369,-0.03832918134755709,-0.033332034270432284,-0.03747570683302475,-0.010164485774253385,0.08888254182545914,-0.03,0.005572837796596522,0.023097065727553157,-0.12,0.9988972879777444,0.9988325573086245,0.9992714802764002,0.999019570459538,0.9975672600809877,1.0246881448231122,1.0525109400432497,1.078697017075474,1.1089326801075685,1.1403805921335612
