step,J,D,stress,movement,active_directed_pairs,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
1,0.6,0.036,0.39235599999999976,0.6,10.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.12,-0.12,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0,-0.12,-0.12,-0.12,-0.12,-0.12,0.999805,0.999805,0.999805,0.999508,0.999184,1.0288329999999999,1.058455,1.08805,1.118347,1.148671
2,1.387400715226802,0.17274131498408546,0.3852498960803688,0.7874007152268021,10.0,0.0,-0.010714285714285714,-0.016666666666666666,-0.04001976284584979,0.12,-0.24,-0.24,-0.24,-0.24,-0.24,0.0,-0.010714285714285714,-0.016666666666666666,-0.04001976284584979,0.12,-0.12,-0.12,-0.12,-0.12,-0.12,0.9995789122200264,0.9994978722002635,0.9997678722002635,0.9991738722002635,0.9985427472002635,1.0278707472002635,1.0571957872200264,1.0861157872200264,1.1167097872200262,1.1473577872200262
3,2.104977185446075,0.42467913974740795,0.37818708713886245,0.72294543570112,10.0,-0.000688148454033647,-0.02757097087568784,-0.0154494399149618,-0.03855250685663117,0.22271611934476077,-0.36,-0.36,-0.36,-0.36,-0.36,-0.000688148454033647,-0.016856685161402124,0.0012172267517048668,0.0014672559892186243,0.10271611934476077,-0.12,-0.12,-0.12,-0.12,-0.12,0.99938182441425,0.9993037555878653,0.999804866856391,0.998914795856804,0.9979862201359332,1.0269610291277802,1.0559050979541649,1.0841889866856391,1.1150799866856391,1.1460519866856391
4,2.6457807393673707,0.6731684385718038,0.3704460185493251,0.6488551903212366,10.0,0.0013279219909971864,-0.00990774829876553,-0.013076591960832286,-0.036542602749657906,0.19142442423684905,-0.47350145013026895,-0.48,-0.48,-0.48,-0.48,0.0020160704450308334,0.017663222576922308,0.002372847954129514,0.0020099041069732634,-0.031291695107911716,-0.11350145013026897,-0.12,-0.12,-0.12,-0.12,0.9992199212611967,0.9991459224906286,0.9995766274451615,0.9984029186614013,0.9971225233649719,1.0257420612305013,1.0543040600010694,1.0822533550465365,1.113425271135609,1.144721271135609
5,3.060420307522088,0.8382678608623748,0.3635650862583027,0.6647174804924342,10.0,0.005351976259418547,-0.015070798882331322,-0.03890701346729216,-0.06120360071478643,0.10288401793772142,-0.4370029002605379,-0.6,-0.6,-0.6,-0.6,0.004024054268421361,-0.005163050583565792,-0.025830421506459873,-0.024660997965128523,-0.08854040629912763,0.03649854986973103,-0.12,-0.12,-0.12,-0.12,0.9989856144361624,0.998861677144715,0.9990931661850748,0.9980043588389798,0.9964080953472195,1.0247231279714606,1.052957065262908,1.0807005762225481,1.1117821584006928,1.143402158400693
6,3.473504582044967,1.1284985738091973,0.35795976735690666,0.6618158321822704,10.0,0.001610088683812874,-0.038646138332934565,-0.06700406454035138,-0.06698126354369877,0.10226012668363146,-0.3170029002605379,-0.72,-0.72,-0.72,-0.72,-0.003741887575605673,-0.023575339450603246,-0.02809705107305921,-0.005777662828912344,-0.0006238912540899588,0.12,-0.12,-0.12,-0.12,-0.12,0.9987520947116643,0.9986164576529883,0.9988465429380264,0.9980597871401585,0.9961766548080329,1.0241912621242055,1.0520588991828814,1.0793988138978434,1.1101833960759881,1.1421273960759881
7,3.776356660194238,1.596423329421802,0.35353884218812387,0.6576536609911457,10.0,-0.0041968242032024115,-0.029067287378158172,-0.04933388652568846,-0.03843958977601382,0.15494497039158722,-0.1970029002605379,-0.7833712016590504,-0.84,-0.84,-0.84,-0.005806912887015285,0.009578850954776393,0.01767017801466292,0.028541673767684947,0.05268484370795576,0.12,-0.06337120165905039,-0.12,-0.12,-0.12,0.998703069414561,0.9986252292452645,0.9989738554286456,0.9984919389631751,0.9964226176963162,1.0240544186920624,1.051486258861359,1.0783026326779779,1.1087902148561226,1.140905317100602
8,4.034904112927649,2.0325841128695226,0.3496336280114663,0.6299783939688598,10.0,-0.0005780613201005012,0.013558476061805696,-0.01306758760179106,-0.00830526668439642,0.19564941768091684,-0.2270029002605379,-0.6967424033181008,-0.96,-0.96,-0.96,0.0036187628831019104,0.04262576343996387,0.0362662989238974,0.0301343230916174,0.04070444728932962,-0.03,0.08662879834094961,-0.12,-0.12,-0.12,0.9987643202167736,0.9987475020517377,0.9991877132415198,0.9986266614461571,0.9967241023574008,1.023939624015084,1.05093244218012,1.0772522309903378,1.1078140631684827,1.1396952676574417
9,4.168853672093938,2.0920234242205304,0.34831319193562377,0.40561285844569206,10.0,0.008659740978963184,0.01863178776058402,-0.0037628823529599273,-0.029247137663786858,0.18970053461014683,-0.3421091854093963,-0.5767424033181008,-1.0,-1.0,-1.0,0.009237802299063685,0.005073311698778324,0.009304705248831133,-0.020941870979390438,-0.005948883070770017,-0.11510628514885834,0.12,-0.0981448988867449,-0.05330233923287722,-0.10453711389558634,0.9987618112560387,0.9987025858022696,0.9991294120051424,0.9982710011209325,0.9966844515662507,1.023766224754486,1.0506754502082551,1.0768736240053824,1.1077203442392707,1.1392775487282294
10,4.174980490464337,1.9415338896613332,0.3482783569968802,0.2613124253183481,10.0,0.011462238544726036,-0.02046060316477571,-0.03660970552413941,-0.07685683560644249,0.14886252186233317,-0.3072154705582546,-0.6067424033181008,-1.0,-0.966770711885565,-1.0,0.002802497565762853,-0.03909239092535973,-0.032846823171179484,-0.04760969794265563,-0.04083801274781365,0.03489371485114165,-0.03,-0.025735857723875988,0.03322928811443504,-0.02817547539839542,0.9986232140091257,0.9984675789170226,0.9988025195912129,0.9980266872795458,0.9964207082405715,1.0235616057105148,1.0506719130601785,1.0769619723859882,1.1077223306756199,1.1393605351645788
11,4.007662059746226,1.8036689205277694,0.35035092466998724,0.3830472791433208,10.0,0.004114767430485652,-0.04344850232181734,-0.06608278885861033,-0.07672720331517559,0.12979439916719868,-0.1872154705582546,-0.6621458450391928,-0.9913623711699255,-0.846770711885565,-1.0,-0.007347471114240384,-0.02298789915704163,-0.029473083334470913,0.000129632291266904,-0.0190681226951345,0.12,-0.05540344172109199,0.008637628830074517,0.12,-0.12,0.9985694661457057,0.9984140935589926,0.9987061309571187,0.9982372177314559,0.9965178553410069,1.0237370694252803,1.0512251142695541,1.077558076871428,1.1080214351610596,1.1398092289426653
12,3.754153439130168,1.7139019804052724,0.35348250447439217,0.3828752208876751,10.0,-0.002436558651647821,-0.013262612771762584,-0.044413977084101344,-0.03913442702168711,0.16204114065135955,-0.2172154705582546,-0.5675492867602848,-0.981329253745505,-0.726770711885565,-1.0,-0.006551326082133473,0.030185889550054752,0.02166881177450898,0.03759277629348848,0.032246741484160873,-0.03,0.094596558278908,0.010033117424420618,0.12,-0.12,0.9987377118775279,0.9986584646628089,0.9990230572292745,0.9984887382938226,0.9969772438346853,1.0241868009262312,1.0519767203985104,1.0782371278320448,1.1087747361216764,1.1403071191959293
13,3.6169161350741463,1.7644662778427433,0.3551484037503439,0.24868507319841393,10.0,0.00264546088638273,0.014322031733692165,-0.0025826450486870767,-0.028343783073091544,0.19168403720082647,-0.16812968849284154,-0.5735286490282893,-0.984463386879155,-0.6512164527311807,-1.0,0.005082019538030551,0.02758464450545475,0.04183133203541427,0.010790643948595566,0.02964289654946692,0.04908578206541306,-0.005979362268004412,-0.0031341331336500466,0.07555425915438432,-0.12,0.9989242394966392,0.9988668433359162,0.9992981324196181,0.9988784400684018,0.9973073555160448,1.0244324488705108,1.0524385132051306,1.0786322241214288,1.1090483451004487,1.140596872452825
14,3.7232524128872457,1.7782012651957486,0.3539869322456953,0.2565032356069774,10.0,0.01041437973189176,0.01448086350012387,-0.005240030844860001,-0.020369213811676768,0.18645318895996868,-0.2690439064274285,-0.5116505876336226,-1.0,-0.7056002419776732,-1.0,0.0077689188455090305,0.00015883176643170446,-0.0026573857961729244,0.007974569261414776,-0.005230848240857788,-0.10091421793458694,0.06187806139466663,-0.017561037506301974,-0.05438378924649262,-0.12,0.9988980709079159,0.9988568232499473,0.9992763429251071,0.9985963998440612,0.9971921358974377,1.0242765679529584,1.0520951748486975,1.0783006551735377,1.1089665388419454,1.1403479954285562
15,3.8397201421911036,1.764161434067896,0.35226184606819505,0.317913519677264,10.0,0.011454196909819081,-0.011297438444938464,-0.03051832498984286,-0.06500440749376603,0.14929693933880278,-0.21995812436201542,-0.5997725262389559,-1.0,-0.7524181844129632,-1.0,0.0010398171779273213,-0.025778301945062334,-0.02527829414498286,-0.044635193682089264,-0.0371562496211659,0.04908578206541306,-0.08812193860533336,-0.03706401026616862,-0.046817942435289917,-0.12,0.9987553057646392,0.9986236718394643,0.9989595899529766,0.9983997304293524,0.996798138074058,1.0239280710590397,1.0516895877033137,1.0779786695898015,1.1085230659475975,1.1401424517684426
16,3.9744630521402837,1.7213203551600293,0.35096410408123596,0.18297686687794124,10.0,0.005770269926616161,-0.032637839611075165,-0.05780065427707915,-0.06945967666481186,0.13086388785762507,-0.28603057005590304,-0.6113668252703678,-1.0,-0.7805333284768055,-1.0,-0.00568392698320292,-0.021340401166136704,-0.02728232928723629,-0.004455269171045828,-0.018433051481177715,-0.06607244569388765,-0.01159429903141189,-0.04319896007762952,-0.028115144063842246,-0.12,0.9986177703024178,0.9984771144571716,0.9987715582048513,0.9980558426795619,0.9964565568487194,1.0236355980264182,1.0513175738869625,1.0776481301392828,1.1083560558001713,1.1400067462284011
17,3.896849052457086,1.7568890352821032,0.3514822108625862,0.1850393706075903,10.0,-0.0002998213592219903,-0.025163243488904266,-0.04701667017566256,-0.072718533074324,0.13410869564953795,-0.2021030157497907,-0.6582760251719169,-1.0,-0.7571630477877273,-1.0,-0.0060700912858381514,0.007474596122170898,0.010783984101416594,-0.003258856409512137,0.003244807791912885,0.08392755430611235,-0.046909199901549126,-0.04610745206349215,0.023370280689078204,-0.12,0.9986605785518664,0.998513323522391,0.9988150680876025,0.9983152678824566,0.9965775547229875,1.0237371847293035,1.0514993761582478,1.0778226315930364,1.1083228365570172,1.1401001818249812
18,3.7949156472361354,1.7628191270953077,0.3528437449143205,0.3093653306445978,10.0,0.0004280822096585107,-0.003447509198329854,-0.027782684045972013,-0.031861414974729885,0.17132413045781586,-0.2681754614436783,-0.555185225073466,-1.0,-0.7367111398324854,-1.0,0.000727903568880501,0.021715734290574412,0.019233986129690545,0.04085711809959411,0.03721543480827791,-0.06607244569388765,0.10309080009845087,-0.02132947325651796,0.020451907955241877,-0.12,0.9987765531100102,0.9987120337446863,0.9990975130382165,0.9984332008601603,0.9969396305794493,1.024064639410732,1.0518085186855834,1.0780480393920535,1.1087117736591265,1.140210773766825
19,3.7409742705306774,1.8256410041101256,0.3534366552092956,0.20770309754542035,10.0,0.005534003884091734,0.008450868869287836,-0.006712838753386546,-0.03405012905951482,0.1855502863477416,-0.18424790713756597,-0.6020944249750151,-1.0,-0.7143338115040735,-1.0,0.005105921674433223,0.01189837806761769,0.021069845292585467,-0.0021887140847849373,0.014226155889925735,0.08392755430611235,-0.046909199901549126,-0.012730145673610832,0.022377328328411883,-0.12,0.9988670773054074,0.9987981257940619,0.9992156139383443,0.9987521294629353,0.9971131643970337,1.0242002475067897,1.0520190475118973,1.078226559367615,1.1086825729377805,1.140308227885213
20,3.7227365266259143,1.7640222026477275,0.35372927098381185,0.23371438584540136,10.0,0.009879309294161396,0.001948559159013312,-0.021224515582681243,-0.029051445813086784,0.17416601452781275,-0.2503203528314536,-0.49900362487656424,-1.0,-0.7371427045411406,-1.0,0.004345305410069661,-0.0065023097102745245,-0.014511676829294697,0.004998683246428038,-0.011384271819928848,-0.06607244569388765,0.10309080009845087,-0.011973568174595967,-0.022808893037067096,-0.12,0.9988362457085471,0.9987774165307757,0.9991692900634632,0.9985364101226583,0.9971860313548161,1.0242992354828648,1.0520360651413319,1.0782691916086442,1.108888734481902,1.1402360442690689
21,3.717583365251056,1.7392914497345067,0.3538421588001293,0.2222694158987601,10.0,0.00864652729067204,-0.014214390993939889,-0.03369997609991502,-0.06401052166231508,0.15960023704412113,-0.16639279852534125,-0.5459128247781133,-1.0,-0.7251060888566382,-1.0,-0.0012327820034893568,-0.0161629501529532,-0.012475460517233777,-0.03495907584922829,-0.014565777483691617,0.08392755430611235,-0.046909199901549126,-0.019309568293992524,0.0120366156845024,-0.12,0.9987828733482561,0.9986532520418899,0.9990123525752391,0.9985888575870465,0.9971372806259611,1.024272940582941,1.0521184777094088,1.0783843771760595,1.1087961993524096,1.1402701639793105
22,3.8986368812662344,1.7782263199626847,0.35174839335774216,0.2170841661972851,10.0,0.0051502179240899195,-0.018626069670609702,-0.0415297678493889,-0.05230454677972787,0.15678719620223724,-0.2324652442192289,-0.6503609515335032,-1.0,-0.7414128870874489,-1.0,-0.0034963093665821205,-0.004411678676669811,-0.007829791749473885,0.011705974882587206,-0.002813040841883885,-0.06607244569388765,-0.1044481267553898,-0.01698930606974053,-0.016306798230810687,-0.12,0.998700967707188,0.998595050999959,0.9989478221914141,0.998365517917774,0.9966388794083647,1.0237886329904935,1.0515590991033972,1.077831327911942,1.1084066793913845,1.140162653960525
23,3.9605330260642715,1.7401825003831966,0.3507358532432097,0.24365718175809503,10.0,0.0036084113222649592,-0.007732995479091157,-0.03314685378220836,-0.0592417211744775,0.13227634582734238,-0.35246524421922887,-0.604809078288893,-1.0,-0.7672523759707652,-1.0,-0.0015418066018249605,0.010893074191518545,0.00838291406718054,-0.006937174394749626,-0.024510850374894866,-0.12,0.0455518732446102,-0.04636025884136871,-0.025839488883316303,-0.12,0.9986984168692864,0.9985784523839081,0.9988760741620196,0.9979988513272919,0.9963780462837916,1.0235127106205995,1.0512158301216699,1.0775432083435583,1.108415559823001,1.140048544334381
24,4.031764028067213,1.7597330385571204,0.3501861315000084,0.16829807869772287,10.0,0.004599986736662006,-0.018155031467273767,-0.0378598581517397,-0.0740657786222873,0.13629390441331884,-0.32246524421922884,-0.6896053868333277,-1.0,-0.7487188376233744,-1.0,0.0009915754143970464,-0.01042203598818261,-0.004713004369531346,-0.014824057447809805,0.004017558585976466,0.03,-0.08479630854443475,-0.044692052201386195,0.018533538347390827,-0.12,0.9986592064832687,0.9985092232815586,0.9988158845664885,0.9980115731049514,0.9961782327350623,1.0233213804797354,1.051112899342932,1.077431238058002,1.1082293395374445,1.1400912740818945
25,3.8428779226479857,1.7604722317289592,0.35214737645938193,0.23090688873022935,10.0,0.002347032595040438,-0.024163158491941,-0.04299639291298922,-0.05162592714474609,0.1455581137395891,-0.20246524421922885,-0.6244016953777625,-1.0,-0.7493203581666887,-1.0,-0.002252954141621568,-0.006008127024667234,-0.005136534761249523,0.02243985147754121,0.009264209326270256,0.12,0.06520369145556525,-0.03236337087821914,-0.0006015205433143045,-0.12,0.9986947553544011,0.998590212851933,0.9989177186078471,0.9984134486344012,0.996765621031506,1.0239180145387494,1.0516621979129923,1.0779596921570784,1.108460793636521,1.1401466782140408
26,3.7152505934486033,1.7800917254385178,0.35405335243772434,0.2900544122635248,10.0,0.0013626266007225542,-0.0009298509964307325,-0.02659595948120126,-0.022150679510953432,0.19677165527166024,-0.23246524421922884,-0.5044016953777625,-0.9991402482285309,-0.731432633762113,-1.0,-0.000984405994317884,0.023233307495510266,0.016400433431787962,0.02947524763379266,0.05121354153207114,-0.03,0.12,0.0008597517714691583,0.017887724404575756,-0.12,0.9988204633393583,0.9987756082133485,0.9992183444377098,0.9986411534123563,0.9972807333501557,1.0244061208511532,1.0521469631808125,1.0783292269564513,1.1089045784358937,1.1402664630134136
27,3.598507342096781,1.829609388510768,0.35510958875059645,0.22562203504026823,10.0,0.006727916577693199,0.01000494156372923,-0.0020159525783791134,-0.030694223535711905,0.1966777922963004,-0.11246524421922885,-0.5344016953777625,-0.9996658645072954,-0.7058537114406804,-1.0,0.005365289976970645,0.010934792560159962,0.024580006902822145,-0.008543544024758473,-9.386297535984856e-05,0.12,-0.03,-0.0005256162787645458,0.025578922321432496,-0.12,0.9989276432094821,0.9988654874068223,0.999308012439489,0.9990205782726665,0.9975619359121837,1.024641541973141,1.0524802585847626,1.078662733552096,1.1089410850315384,1.1403839696090585
