step,J,D,stress,movement,active_directed_pairs,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
1,0.6,0.036,0.39235599999999976,0.6,18.0,0.0,0.0,0.0,0.0,0.0,-0.12,-0.12,-0.12,-0.12,-0.12,0.0,0.0,0.0,0.0,0.0,-0.12,-0.12,-0.12,-0.12,-0.12,0.999805,0.999805,0.999805,0.999508,0.999184,1.0288329999999999,1.058455,1.08805,1.118347,1.148671
2,1.387400715226802,0.17274131498408546,0.3852498960803688,0.7874007152268021,18.0,0.0,-0.010714285714285714,-0.016666666666666666,-0.04001976284584979,0.12,-0.24,-0.24,-0.24,-0.24,-0.24,0.0,-0.010714285714285714,-0.016666666666666666,-0.04001976284584979,0.12,-0.12,-0.12,-0.12,-0.12,-0.12,0.9995789122200264,0.9994978722002635,0.9997678722002635,0.9991738722002635,0.9985427472002635,1.0278707472002635,1.0571957872200264,1.0861157872200264,1.1167097872200262,1.1473577872200262
3,2.5413952793546786,0.49846441497559335,0.3779500314907707,1.1873278974612105,18.0,0.12,-0.1307142857142857,0.10333333333333333,-0.1600197628458498,0.22732789746121024,-0.36,-0.36,-0.36,-0.36,-0.36,0.12,-0.12,0.12,-0.12,0.10732789746121024,-0.12,-0.12,-0.12,-0.12,-0.12,0.9995937441943916,0.9992697041746288,0.9997811919439166,0.9987281919439165,0.9979620669439165,1.0267230669439165,1.0559131069636793,1.0841866191943916,1.1150776191943916,1.1460496191943916
4,3.591120395977426,0.9256792232011386,0.3698774628278528,1.1061149021409964,18.0,0.24,-0.25071428571428567,0.22333333333333333,-0.2779397722277216,0.1991330047020856,-0.48,-0.48,-0.48,-0.48,-0.48,0.12,-0.12,0.12,-0.11792000938187183,-0.02819489275912465,-0.12,-0.12,-0.12,-0.12,-0.12,0.9995751634690909,0.9990123354303299,0.9994603846909095,0.9979483846909095,0.9970472596909095,1.0252412596909095,1.0542920877296706,1.0822240384690909,1.1134120384690909,1.1447080384690909
5,3.911574193148142,1.1057953323196252,0.36291512365813944,0.6395462028292843,18.0,0.23343341400215795,-0.22665943752130868,0.21452423539472448,-0.26203127288280115,0.10643279815189241,-0.4684930351952571,-0.6,-0.6,-0.6,-0.6,-0.006566585997842045,0.024054848192976985,-0.008809097938608845,0.015908499344920418,-0.09270020655019318,0.011506964804742892,-0.12,-0.12,-0.12,-0.12,0.9994113601545911,0.9988807468270033,0.9991202206228451,0.9976455652518339,0.99638255386593,1.0242414102422195,1.052882023569807,1.0806175497739654,1.1117770700360738,1.1433970700360736
6,4.036429779441778,1.3194739667860078,0.35749072510923147,0.8363451799336031,18.0,0.17346941397087945,-0.17144529392040722,0.14730132335125748,-0.20868753173846458,0.10703318126551203,-0.3484930351952571,-0.72,-0.72,-0.72,-0.72,-0.0599640000312785,0.05521414360090146,-0.067222912043467,0.05334374114433657,0.0006003831136196236,0.12,-0.12,-0.12,-0.12,-0.12,0.9991667455192946,0.9987441532675243,0.9989849779253717,0.9978882739544027,0.9962143002923274,1.0238431579102951,1.0519977501620654,1.0793269255042182,1.1101894457663264,1.1421334457663264
7,4.373193836614616,1.7348857671953928,0.35295298878997233,0.6335478856457508,18.0,0.1539050003591328,-0.17859112309585093,0.14528651455491817,-0.2018748399100945,0.16084310760853257,-0.2284930351952571,-0.7842002158908306,-0.84,-0.84,-0.84,-0.019564413611746656,-0.0071458291754437075,-0.002014808796339307,0.006812691828370077,0.05380992634302054,0.12,-0.06420021589083058,-0.12,-0.12,-0.12,0.9990235893527072,0.9986147928018893,0.9989766897940084,0.9982033977814154,0.9963673382173861,1.0236488224911873,1.051411619042005,1.078214722049886,1.1087802423119943,1.1408975828948995
8,4.7846200947016175,2.1324998280245073,0.3487967625380111,0.5830258263053398,18.0,0.17768034581246553,-0.1907777370600692,0.17654558692542358,-0.21356244671820546,0.1891605112085356,-0.2584930351952571,-0.6984004317816611,-0.96,-0.96,-0.96,0.023775345453332736,-0.012186613964218274,0.0312590723705054,-0.011687606808110956,0.028317403600003038,-0.03,0.08579978410916941,-0.12,-0.12,-0.12,0.9989963835157918,0.9985639195611874,0.9989895307114066,0.9981098919824515,0.9965246857525106,1.023398903696045,1.0508073676506493,1.07714175650043,1.1077815267625382,1.1396672079283487
9,4.785238365851011,2.2347504076233657,0.34865001505817533,0.33613456725740243,18.0,0.19711049689107948,-0.17562800694755046,0.18322000976906966,-0.23583429199934358,0.1774733431613524,-0.23757178530095488,-0.5784004317816611,-1.0,-1.0,-1.0,0.019430151078613955,0.015149730112518744,0.006674422843646083,-0.022271845281138125,-0.0116871680471832,0.020921249894302246,0.12,-0.09866338306485285,-0.05382119454486034,-0.10537445611005103,0.9990572100023147,0.9985796455610161,0.9989789605831292,0.9981248712437063,0.9968398041888382,1.0235850081712539,1.0509125726125526,1.0771382575904396,1.1077262477590595,1.1392879289248699
10,4.601156700527323,2.220138015539861,0.35012049649894844,0.19921008522228648,18.0,0.19360658620980406,-0.1773143823326939,0.17093764605892717,-0.21903497463615929,0.17198736121669714,-0.11757178530095488,-0.5842782663458164,-1.0,-0.9664256984262697,-1.0,-0.003503910681275424,-0.0016863753851434349,-0.012282363710142491,0.016799317363184296,-0.0054859819446552716,0.12,-0.0058778345641552765,-0.016930857685536732,0.033574301573730314,-0.026625273386587656,0.9990698342580507,0.9986262884344125,0.9990132599971501,0.9984609009371469,0.9971626197701872,1.0239299320072812,1.0513292368808766,1.0775672653181392,1.1078582554867589,1.1394358068058925
