step,J,D,stress,movement,active_directed_pairs,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
1,0.2793127419127362,0.008336040291015704,0.0,0.22593982112930136,18.0,0.028967141530112327,-0.025382643011711847,-0.003945552280145281,0.03923029856408025,-0.02634153374723336,-0.026341369569491804,0.039792128155073915,0.031191730759678262,-0.028694743859349524,0.029425600435859647,0.024,-0.024,-0.010422437661152206,0.024,-0.024,-0.024,0.024,0.023517383468149175,-0.024,0.024,1.000009203930329,1.0000886452849211,1.00002937683399,0.9999250763032398,1.000072492712002,1.0001708305185784,1.000001000720829,1.0001595805732313,1.0002247754629159,1.0001173367168972
2,0.5193127419127361,0.02750305190282704,0.0,0.24,18.0,0.052967141530112324,-0.049382643011711844,-0.02794555228014528,0.06323029856408025,-0.05034153374723336,-0.050341369569491805,0.06379212815507392,0.05519173075967826,-0.052694743859349524,0.053425600435859644,0.024,-0.024,-0.024,0.024,-0.024,-0.024,0.024,0.024,-0.024,0.024,0.999963603930329,1.0000916452849213,0.9999783768339899,0.9997822763032398,1.000032292712002,1.0002440305185782,0.9999500007208291,1.0002435805732313,1.000368175462916,1.000195936716897
3,0.7593127419127362,0.058190063514638374,0.0,0.24,18.0,0.07696714153011233,-0.07338264301171185,-0.05194555228014528,0.08723029856408024,-0.07434153374723336,-0.0743413695694918,0.08779212815507392,0.07919173075967825,-0.07669474385934952,0.07742560043585964,0.024,-0.024,-0.024,0.024,-0.024,-0.024,0.024,0.024,-0.024,0.024,0.9999180039303289,1.0000946452849213,0.9999273768339899,0.9996394763032398,0.999992092712002,1.0003172305185783,0.999899000720829,1.0003275805732315,1.000511575462916,1.0002745367168973
4,0.9973424646227058,0.09998189349169083,0.0,0.23802972270996958,18.0,0.10096714153011233,-0.09738264301171184,-0.07594555228014528,0.1104183959049051,-0.09834153374723337,-0.0983413695694918,0.1106337535242187,0.10319173075967825,-0.10069474385934951,0.10142560043585963,0.024,-0.024,-0.024,0.02318809734082486,-0.024,-0.024,0.022841625369144775,0.024,-0.024,0.024,0.9998718737398414,1.0000954709915488,0.9998742025406175,0.9994945020098674,0.9999465908071262,1.0003851286137027,0.9998443429188382,1.0004079227712406,1.000651317660925,1.0003526065264097
5,1.1933836871191625,0.14279390869820988,0.0,0.19604122249645678,18.0,0.11911808889168186,-0.11953538478705093,-0.09867464546778529,0.12744846369633686,-0.11877970573572308,-0.11740651204556679,0.1271920278108131,0.12194727636539557,-0.11951574016100946,0.12376584215779962,0.018150947361569535,-0.02215274177533909,-0.02272909318764,0.017030067791431763,-0.02043817198848972,-0.019065142476075,0.01655827428659439,0.018755545605717322,-0.01882099630165995,0.022340241721939987,0.9998212072610246,1.0000792904000098,0.9998120360621043,0.9993606455247878,0.9998923322309166,1.0004266423761274,0.9997920846556352,1.000477048710823,1.0007676298281358,1.0004242113530466
6,1.3357359188357663,0.1787822046815439,0.0,0.1423522317166034,18.0,0.13197372741080615,-0.1364686196317615,-0.11438468159525186,0.13969800352353526,-0.13396620447763616,-0.13124203060297007,0.13884884706627776,0.13547918895724798,-0.133430746925353,0.14024386864492625,0.012855638519124302,-0.01693323484471057,-0.015710036127466576,0.012249539827198409,-0.015186498741913069,-0.013835518557403276,0.011656819255464648,0.013531912591852402,-0.01391500676434353,0.016478026487126613,0.9997837961646766,1.0000666846218118,0.9997652606617371,0.9992622721039902,0.9998521020669892,1.0004542711215605,0.9997510758116106,1.0005258228283618,1.0008506468541043,1.0004757549670253
7,1.437817723049414,0.20718527405752526,0.0,0.10208180421364808,18.0,0.14162144311497948,-0.14906725603676083,-0.12360692059415394,0.14897401096125762,-0.144985501225858,-0.1411116934129458,0.14713565538769205,0.14523967760420334,-0.14397357677335573,0.15210198793820728,0.009647715704173321,-0.012598636404999348,-0.009222238998902078,0.009276007437722375,-0.011019296748221823,-0.00986966280997572,0.0082868083214143,0.00976048864695535,-0.010542829848002736,0.011858119293281042,0.9997608087723349,1.0000624811445316,0.9997362637667733,0.999195823377371,0.9998278705751756,1.0004751890892374,0.9997199999502049,1.0005595615372544,1.0009088129784516,1.0005115467089047
8,1.5088278432511857,0.22837321027701743,0.0,0.07101012020177182,18.0,0.14916287958500135,-0.15846244164214626,-0.12581599315904377,0.1562251433326715,-0.15295295958122407,-0.14806762485521488,0.15305150748080038,0.15236465223099602,-0.15207769942437135,0.1606469419597163,0.007541436470021876,-0.00939518560538543,-0.0022090725648898353,0.0072511323714138905,-0.007967458355366068,-0.006955931442269074,0.005915852093108339,0.007124974626792688,-0.008104122651015613,0.00854495402150901,0.9997534462533607,1.0000698021686094,0.9997256580095516,0.9991578207505952,0.9998206381663798,1.0004927735618416,0.9996973728934062,1.000583700481578,1.0009501678530948,1.0005369287828965
9,1.5443265610287722,0.24058738702998475,0.0,0.06757182813673615,18.0,0.15531466674207725,-0.16553056614380757,-0.10977943797946865,0.16206507127120395,-0.1586545905514412,-0.15288141331253607,0.1572781629526335,0.15763902139889963,-0.15834654622440725,0.16683708445229672,0.006151787157075896,-0.007068124501661315,0.01603655517957511,0.005839927938532441,-0.005701630970217156,-0.004813788457321182,0.004226655471833121,0.00527436916790361,-0.006268846800035904,0.006190142492580425,0.9997840519844712,1.0001122337537953,0.9997552609250546,0.9991672046270044,0.9998525663086529,1.0005112634346078,0.9996842900446767,1.000604338033444,1.0009827195313925,1.0005580684914204
10,1.5598669235734084,0.24828451907601834,0.0,0.06354036254463657,18.0,0.1613952167584869,-0.1704971313540878,-0.08577943797946866,0.16739047445336136,-0.1622349533141127,-0.15606868585292386,0.16034338362309483,0.16160424206268117,-0.1632076600333922,0.1713457381417989,0.0060805500164096415,-0.004966565210280235,0.024,0.005325403182157413,-0.003580362762671488,-0.0031872725403877785,0.003065220670461338,0.003965220663781538,-0.004861113808984949,0.004508653689502172,0.9998341055636718,1.0001730712744399,0.9998080426294832,0.9992038890893732,0.9999053492070382,1.0005324446034347,0.9996793747635614,1.0006226952747468,1.0010089652722327,1.0005760381364504
