step,J,D,stress,movement,active_directed_pairs,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
1,0.047291712079763154,0.0002301366080741249,0.0,0.019034979465685525,0.0,0.003926685093621638,-0.0005442618105666489,0.005033654641320444,0.011131743743824297,-0.0011450610502784135,-0.0011396272768727442,0.011487456086003142,0.005828139326450011,-0.0028455408066691643,0.00420954224415666,-0.0010404564364906886,0.0008383812011451976,-0.0014432307396864807,-0.004098554820255957,0.001196472696954946,0.0012017422926190614,-0.0043046720690707715,-0.0018462079650790773,0.0018492030526803573,-0.0012160581917029867,1.0000228328794993,1.0000453746605806,1.0000427982732174,1.0000346766708308,1.0000665500146146,1.0000745367437902,1.000043031509168,1.0000598151016051,1.0000626356791154,1.000031619547683
2,0.03398913604367263,0.00011539436933656867,0.0,0.01330257603609053,0.0,0.0030128351568779552,-0.000313493553188432,0.00373052126867907,0.00800348697707558,-0.0006600552629267389,-0.0006674423512588317,0.008233928807759252,0.004257705703333396,-0.0018910272610295259,0.0032186397015438505,-0.0009138499367436833,0.00023076825737821695,-0.0013031333726413743,-0.0031282567667487156,0.0004850057873516747,0.0004721849256139125,-0.003253527278243891,-0.0015704336231166143,0.0009545135456396384,-0.0009909025426128096,1.0000172829690048,1.0000334900301333,1.0000320049057918,1.0000262856585105,1.0000490110186377,1.0000547498695365,1.0000325860725356,1.00004493410587,1.0000465860256893,1.0000243544179084
3,0.024309790583887304,5.769984678082108e-05,0.0,0.009679345459785327,0.0,0.0022518214325140504,-0.00020820052579068694,0.002715107301200871,0.005700624546822328,-0.0004065438045289806,-0.00041918387194034415,0.005851288851968127,0.003067467088218873,-0.001283994619456344,0.0024055585414467003,-0.0007610137243639048,0.00010529302739774505,-0.0010154139674781986,-0.0023028624302532524,0.0002535114583977583,0.0002482584793184875,-0.002382639955791125,-0.0011902386151145235,0.000607032641573182,-0.0008130811600971501,1.0000127143246336,1.000024258089341,1.0000233433657808,1.000019265926764,1.0000353923224923,1.0000394774705832,1.0000238891228246,1.0000329226064621,1.000033960086545,1.0000181616066448
4,0.017353222712384306,2.884264210553847e-05,0.0,0.006956567871502997,0.0,0.0016649652408072138,-0.00014834884261119034,0.0019612798834515045,0.004047310628936776,-0.0002568759393921543,-0.00027026218394304055,0.004146362947547573,0.002197731497706654,-0.0008802226059640606,0.001779862942024141,-0.0005868561917068366,5.98516831794966e-05,-0.0007538274177493667,-0.0016533139178855527,0.00014966786513682628,0.00014892168799730357,-0.0017049259044205534,-0.0008697355905122192,0.0004037720134922834,-0.0006256955994225591,1.0000092500432718,1.0000174458472955,1.0000168678764318,1.0000139512744515,1.000025380103837,1.0000282781646774,1.0000173096594451,1.000023894667738,1.0000245635666434,1.000013368386685
5,0.012373700842265559,1.4415963415017009e-05,0.0,0.0049795218701187485,0.0,0.0012241605559191965,-0.00010802298120741278,0.0014121548657483355,0.0028702582369904053,-0.00016268217041764984,-0.00017481074006340613,0.0029356327853163585,0.0015711825702973167,-0.0006052835013996007,0.0013095124349058775,-0.00044080468488801733,4.032586140377757e-05,-0.000549125017703169,-0.0011770523919463708,9.419376897450445e-05,9.545144387963442e-05,-0.0012107301622312145,-0.0006265489274093375,0.00027493910456445977,-0.00047035050711826374,1.000006699117064,1.0000125113899938,1.0000121453551105,1.0000100600817783,1.000018156426494,1.000020210256754,1.0000124913407946,1.0000172769801459,1.0000177096367275,1.0000097834282071
6,0.008817009572061602,7.205549268294558e-06,0.0,0.003556691270203957,0.0,0.0008970033261781139,-7.878090833587333e-05,0.0010151948932811106,0.002034955330784626,-0.0001020168484332859,-0.00011218225925409305,0.002078247436895167,0.0011223064025505827,-0.000416377424296947,0.0009599447420518034,-0.0003271572297410826,2.9242072871539456e-05,-0.000396959972467225,-0.0008353029062057795,6.066532198436394e-05,6.262848080931308e-05,-0.0008573853484211915,-0.000448876167746734,0.0001889060771026537,-0.00034956769285407414,1.000004842009794,1.0000089627943387,1.0000087332564298,1.000007244650848,1.000012979998858,1.0000144353942777,1.0000090030208462,1.0000124723722597,1.0000127500233513,1.0000071387552716
7,0.006279639542441993,3.6019521066583353e-06,0.0,0.0025373700296196094,0.0,0.0006557001715871681,-5.7110196208951376e-05,0.0007292018835859249,0.0014428441241339464,-6.281725488337462e-05,-7.094608114800419e-05,0.0014716066423571136,0.0008014250592255751,-0.00028619666598890146,0.0007017914633230336,-0.0002413031545909457,2.1670712126921953e-05,-0.00028599300969518575,-0.0005921112066506796,3.9199593549911276e-05,4.123617810608886e-05,-0.0006066407945380534,-0.00032088134332500766,0.0001301807583080456,-0.0002581532787287697,1.0000034963847257,1.000006418144077,1.0000062768052536,1.0000052160184711,1.0000092793049644,1.0000103109098724,1.000006487631023,1.0000089975160353,1.000009173107586,1.0000051997696517
8,0.0044708467709335025,1.8008294355918496e-06,0.0,0.0018087927715084904,0.0,0.0004784049950546538,-4.104466459264792e-05,0.0005234998569709992,0.0010232427299402824,-3.765199409143901e-05,-4.395017173366625e-05,0.001042415279969647,0.0005722429432240059,-0.00019644816084484287,0.0005119459745113187,-0.00017729517653251438,1.6065531616303455e-05,-0.00020570202661492564,-0.00041960139419366385,2.5165260791935614e-05,2.699590941433794e-05,-0.00042919136238746654,-0.00022918211600156922,8.974850514405859e-05,-0.00018984548881171488,1.0000025234357866,1.0000045955023147,1.0000045107853281,1.0000037561619097,1.0000066353285124,1.0000073668393787,1.000004675961144,1.0000064884957947,1.0000065972724697,1.0000037827512138
9,0.003182131373352432,9.004871623381226e-07,0.0,0.0012887153975810713,0.0,0.0003484982498663208,-2.9218920694791054e-05,0.0003756881113375441,0.000725872486901657,-2.1694619864381452e-05,-2.646468574860642e-05,0.000738695332503704,0.00040861067604573145,-0.00013461605874373525,0.0003727722316459603,-0.000129906745188333,1.1825743897856864e-05,-0.0001478117456334551,-0.0002973702430386254,1.595737422705756e-05,1.7485485985059832e-05,-0.0003037199474659429,-0.00016363226717827447,6.183210210110761e-05,-0.00013917374286535848,1.000001820691388,1.000003290583174,1.0000032417702793,1.0000027057975447,1.0000047462947426,1.0000052652423697,1.0000033713099987,1.0000046782291752,1.0000047437292723,1.0000027492518746
10,0.002264341780110678,4.503532072863009e-07,0.0,0.0009177895932417541,0.0,0.0002535214722354746,-2.0595220459059728e-05,0.00026954020955177694,0.0005150817483217502,-1.1750496542600044e-05,-1.5301626392199057e-05,0.0005236865349834522,0.0002917926861437714,-9.206717264692601e-05,0.0002710046128336675,-9.497677763084618e-05,8.623700235731324e-06,-0.00010614790178576715,-0.00021079073857990682,9.944123321781408e-06,1.1163059356407364e-05,-0.00021500879752025184,-0.00011681798990196006,4.2548886096809235e-05,-0.0001017676188122928,1.0000013134106165,1.0000023564511569,1.0000023300125396,1.0000019498870267,1.0000033962781434,1.0000037645993733,1.0000024315472391,1.0000033726264246,1.0000034104979498,1.0000019965443054
