step,J,D,stress,movement,active_directed_pairs,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
1,1.1830720264299417,0.1448492691026211,0.0,1.129699105646507,18.0,0.12496714153011232,-0.12138264301171184,-0.0456353029247541,0.13523029856408025,-0.12234153374723336,-0.1223413695694918,0.1357921281550739,0.12526126463227497,-0.12469474385934952,0.12542560043585965,0.12,-0.12,-0.052112188305761024,0.12,-0.12,-0.12,0.12,0.11758691734074588,-0.12,0.12,0.9999347970275484,1.0002086383821407,0.9999333699312093,0.9994618694004592,1.0000196858092214,1.0004682185535354,0.9998015887557861,1.0005001686081885,1.0008029634978728,1.0004363247518542
2,2.192929087457815,0.5031130224956966,0.0,1.1011276668773817,18.0,0.2353336852451044,-0.24138264301171183,0.05225250876948486,0.23744499135959782,-0.24209996933720176,-0.232096192211135,0.23686452925109325,0.23878025043602902,-0.23124871740059771,0.24542560043585965,0.11036654371499209,-0.12,0.09788781169423896,0.10221469279551756,-0.1197584355899684,-0.1097548226416432,0.10107240109601934,0.11351898580375404,-0.1065539735412482,0.12,1.00012392008724,1.0006047461947432,1.0000600212637345,0.999167882712931,1.0001875946046523,1.0007919723213927,0.9995827127540776,1.0009557490865573,1.00153018716228,1.000890652933302
3,1.9005070925838183,0.3964582436300476,0.0,0.292421994873997,18.0,0.2224107996898788,-0.21681998149712775,0.0001403204637238295,0.21562252942592008,-0.21360307614798824,-0.19185101485277822,0.1879369303471126,0.21733381683757796,-0.1974243783643127,0.2373642449573981,-0.012922885555225569,0.024562661514584083,-0.05211218830576103,-0.021822461933677734,0.02849689318921353,0.040245177358356796,-0.04892759890398066,-0.02144643359845104,0.033824339036285025,-0.00806135547846154,1.0000437447728494,1.000480380394937,0.999999773473604,0.999224687632262,1.0000736088150572,1.0007090576524724,0.9996505352385373,1.0009322464866015,1.0014070777483621,1.000899648036425
4,1.3990582595346353,0.22597988432748808,0.0,0.5591728421590152,18.0,0.15730501771013333,-0.18863357421817456,-0.028862004554916092,0.18159051969326576,-0.17487665607566696,-0.07185101485277823,0.0679369303471126,0.17573412770593716,-0.175171972468048,0.17709644190860258,-0.06510578197974547,0.02818640727895319,-0.029002325018639922,-0.03403200973265433,0.03872642007232127,0.12,-0.12,-0.04159968913164082,0.02225240589626469,-0.06026780304879553,0.9999081000823616,1.0002758208847404,0.9998823484085702,0.9994921553729009,0.9999726829642317,1.0005386568959704,0.9996191443803172,1.000610317347929,1.0007881486096897,1.0006047188977525
5,1.4499607407370094,0.2394094813178011,0.0,0.4521328611886068,18.0,0.15290269502084058,-0.19769136804187806,0.0911379954450839,0.19294146666705095,-0.1822163755864664,0.04814898514722177,-0.0520630696528874,0.17001801363640995,-0.20759113311005722,0.1552496384291131,-0.004402322689292734,-0.009057793823703503,0.12,0.011350946973785192,-0.007339719510799425,0.12,-0.12,-0.005716114069527198,-0.03241916064200924,-0.021846803479489474,1.0001019674977254,1.0004926739677262,1.0000826871226567,0.999995437222618,1.0001662308392212,1.0004994851373064,0.999454866598009,1.0003888209727767,1.0002696522345373,1.0004102225226001
6,1.7310946313434932,0.31073159477417406,0.0,0.45727732585830855,18.0,0.21560714496464162,-0.15572893697366777,0.0611379954450839,0.22746277176045532,-0.1661070890287642,0.16814898514722176,-0.1720630696528874,0.1764744422905567,-0.22156011374024626,0.16680408233996802,0.06270444994380102,0.04196243106821029,-0.03,0.03452130509340437,0.01610928655770219,0.12,-0.12,0.006456428654146737,-0.013968980630189018,0.011554443910854917,1.0002197951548546,1.0006804072676696,1.0003066663173548,1.000431765409892,1.0002124681975626,1.0006186075494614,0.9994600810783646,1.0003967858065768,0.9999806170683374,1.0004451873564002
7,1.866670359367183,0.36879618664827685,0.0,0.33443017959263743,18.0,0.20829681725177512,-0.15026712743124587,-0.058862004554916095,0.2213567050762897,-0.17582896638672646,0.24509514226439794,-0.23422624486543095,0.18605930683169764,-0.20214908734031045,0.18452895736439276,-0.0073103277128664795,0.005461809542421897,-0.12,-0.006106066684165606,-0.00972187735796226,0.07694615711717617,-0.06216317521254355,0.009584864541140922,0.01941102639993579,0.01772487502442474,0.9999936505046345,1.000441897832414,1.0000462826580439,1.0003716924318584,0.999975952296426,1.0006261273771075,0.999541110424206,1.000559510829681,0.9999529003525767,1.0005853112137133
8,1.7040939206741421,0.31526138351433525,0.0,0.374519864529545,18.0,0.1392970072038192,-0.20758857463369149,-0.028862004554916096,0.170661155250883,-0.20190102013700728,0.199670775192883,-0.1861783203971783,0.19504242659492166,-0.17676858714214772,0.19812404956669438,-0.06899981004795593,-0.05732144720244561,0.03,-0.05069554982540672,-0.02607205375028082,-0.045424367071514926,0.04804792446825265,0.00898311976322401,0.025380500198162723,0.013595092202301623,0.9998507372697741,1.000196326109157,0.9997420488138489,1.0000481830227261,0.9998724535627018,1.0004949042686908,0.99959249437981,1.000715440342406,1.0002212551738034,1.0007239366388758
9,1.665524787007737,0.2844566826857122,0.0,0.256487909654619,18.0,0.1452710874585395,-0.21874099818576,0.0910467960300214,0.15422159642618802,-0.19061206050587262,0.15708223082390127,-0.16220492231903968,0.19209439115964977,-0.15534056637477361,0.1989101377239911,0.005974080254720307,-0.011152423552068524,0.1199088005849375,-0.016439558824694972,0.01128895963113466,-0.04258854436898174,0.023973398078138614,-0.0029480354352718757,0.021428020767374087,0.0007860881572967215,1.0000814392378152,1.0003937379705783,0.9999648608344401,1.0001575233876603,1.0000640871695414,1.0004620790308294,0.9996604575139858,1.0007606563649425,1.0003718778436532,1.0008098311339146
10,1.6901474082042176,0.28853997822210886,0.0,0.30172906950821377,18.0,0.21882452803848906,-0.1560903834247898,0.060955596614958904,0.19994237423852831,-0.16224383143124116,0.17309852258925454,-0.17386072252834678,0.18330639700036527,-0.17157010136017048,0.1902549509780731,0.07355344057994957,0.0626506147609702,-0.030091199415062497,0.045720777812340296,0.028368229074631462,0.01601629176535327,-0.011655800209307093,-0.008787994159284482,-0.01622953498539688,-0.008655186745918003,1.0002477304177595,1.0006526137255924,1.0002875651048722,1.0004205708354286,1.000196989238496,1.0006234403758154,0.9996781112486978,1.000685270328969,1.0002568514855608,1.0007262754363873
